indices,window,features,clusters,clusters_real,pca,find_optimal,entropy,median,silhouette_cluster,silhouette_return,top_1_percent
8,64,20,10,10,with,False,0.7379071912888508,10.0,0.0534103401005268,-0.1415756360709846,0.2078985751150005
8,64,20,10,10,without,False,0.7465380447112552,10.0,0.0350047200918197,-0.1422908305520538,0.1997082912599573
8,64,20,3,3,with,False,0.7330308560818553,20.0,0.0738933309912681,-0.0367610697257818,0.552002692696062
8,64,20,3,3,without,False,0.6828186074104232,30.0,0.0604073107242584,-0.0492596270427413,0.5419050824638169
8,64,20,4,4,with,False,0.7683927189074607,20.0,0.0668565854430198,-0.0861282232107016,0.3444407045888029
8,64,20,4,4,without,False,0.7108939801782009,20.0,0.0561544485390186,-0.0645820329250601,0.4790755076854033
8,64,20,5,5,with,False,0.8092092064601418,20.0,0.0580590441823005,-0.1006204046817901,0.3702457085156513
8,64,20,5,5,without,False,0.7363777639478961,20.0,0.0569204725325107,-0.0917426745973558,0.3320991809716145
8,64,20,6,6,with,False,0.7457202668975177,10.0,0.0704043507575988,-0.104698516038299,0.4095141927521598
8,64,20,6,6,without,False,0.7510121074805952,10.0,0.0389682501554489,-0.1145844065140827,0.263996409738584
8,64,20,7,7,with,False,0.8020612516095058,10.0,0.0556810088455677,-0.1303369293852632,0.3040502636598227
8,64,20,7,7,without,False,0.7565054307056288,20.0,0.046792235225439,-0.1281477211078243,0.2950746101200494
8,64,20,8,8,with,False,0.7825804971253799,10.0,0.0577101446688175,-0.1323476599009123,0.2853135868955458
8,64,20,8,8,without,False,0.7531450613639199,20.0,0.0386845506727695,-0.141461433297945,0.2681476495007293
8,64,20,9,9,with,False,0.7630032200817006,10.0,0.0568295121192932,-0.1418107682725841,0.2019522046449007
8,64,20,9,9,without,False,0.7089594253018618,10.0,0.0442843288183212,-0.1405145753775786,0.2120498148771457
8,64,20,4,4,with,True,0.7683927189074607,20.0,0.0668565854430198,-0.0861282232107016,0.3444407045888029
8,64,20,3,3,without,True,0.6828186074104232,30.0,0.0604073107242584,-0.0492596270427413,0.5419050824638169
8,128,20,10,10,with,False,0.7020249751730923,30.0,0.0597693845629692,-0.1615520804590784,0.1988026657630182
